Symbol,Name,Sector,Price,Price/Earnings,Earnings/Share,52 Week High,52 Week Low
NFX,Newfield Exploration Co,Energy,26.38,13.12,-6.5,43.74,24.41
NEM,Newmont Mining Corporation,Materials,36.61,26.34,-1.18,42.04,31.42
NWSA,News Corp. Class A,Consumer Discretionary,15.65,43.47,-1.28,17.29,12
NWS,News Corp. Class B,Consumer Discretionary,15.85,44.03,-1.28,17.7,12.35
NEE,NextEra Energy,Utilities,145.29,21.65,11.39,159.64,124.18
NLSN,Nielsen Holdings,Industrials,33.9,18.73,1.39,45.73,34.22
NKE,Nike,Consumer Discretionary,62.49,24.9,2.51,68.83,50.35
NI,NiSource Inc.,Utilities,22.51,19.57,1.02,27.76,21.93
NBL,Noble Energy Inc,Energy,25.43,105.96,-2.32,39.6,22.985
JWN,Nordstrom,Consumer Discretionary,47.23,15.04,2.02,53,37.7924
NSC,Norfolk Southern Corp.,Industrials,136.89,20.65,18.73,157.1499,109.27
NTRS,Northern Trust Corp.,Financials,96.2,19.96,4.92,108.91,83.17
NOC,Northrop Grumman Corp.,Industrials,324.01,24.4,11.47,349.18,231.98
NCLH,Norwegian Cruise Line,Consumer Discretionary,56.01,15.35,2.78,61.48,46.96
NRG,NRG Energy,Utilities,24,17.78,-2.23,29.78,14.52
NUE,Nucor Corp.,Materials,60.38,17.01,4.1,70.48,51.67
NVDA,Nvidia Corporation,Information Technology,217.52,82.08,2.57,249.27,95.17
ORLY,O'Reilly Automotive,Consumer Discretionary,252.22,21.91,10.73,279.23,169.43
